latitude,longitude,date,rainfall_mm,soil_moisture,elevation,slope,label
26.63333,92.8,2023-09-02,3.1,0.6628,70.0,0.115,1
26.32293,91.00632,2017-01-07,0.0,0.3537,46.0,0.077,1
26.51167,93.95951,2023-09-02,2.4,0.7698,97.0,0.051,1
26.35,92.66667,2022-05-14,61.1,0.8415,60.0,0.115,1
26.63333,92.8,2022-05-17,104.1,0.8538,70.0,0.115,1
27.48333,94.58333,2023-09-01,3.6,0.7979,109.0,0.621,1
26.00281,92.85605,2022-05-17,11.1,0.8335,74.0,0.118,1
25.56743,93.76056,2022-05-13,19.4,0.8453,1314.0,5.768,1
26.43937,91.44041,2023-06-26,52.2,0.8401,53.0,0.154,1
26.95,94.16667,2022-10-10,20.3,0.8411,88.0,0.577,1
27.23517,94.10357,2010-06-01,23.7,0.7061,97.0,0.058,1
26.00281,92.85605,2022-05-20,12.8,0.7823,74.0,0.118,1
26.40107,90.27286,2022-05-17,76.3,0.7198,49.0,0.126,1
23.20083,93.08517,2010-09-09,9.6,0.6822,1352.0,5.384,1
26.00281,92.85605,2022-06-21,18.1,0.823,74.0,0.118,1
26.75751,94.20306,2023-06-27,37.9,0.8327,92.0,0.126,1
27.48333,94.58333,2023-08-27,61.3,0.8422,109.0,0.621,1
26.32293,91.00632,2022-06-25,0.5,0.5791,46.0,0.077,1
27.47989,94.90837,2023-08-30,0.0,0.7608,108.0,0.116,1
27.48333,94.58333,2022-09-16,7.4,0.8438,109.0,0.621,1
26.43937,91.44041,2023-06-27,46.3,0.844,53.0,0.154,1
26.35,92.66667,2022-05-12,23.5,0.8272,60.0,0.115,1
26.35,92.66667,2022-05-21,59.7,0.839,60.0,0.115,1
26.75367,92.10215,2022-05-16,87.6,0.8499,110.0,0.354,1
27.47989,94.90837,2023-06-25,22.0,0.8224,108.0,0.116,1
26.32293,91.00632,2014-08-15,55.4,0.7169,46.0,0.077,1
26.32293,91.00632,2020-01-06,0.8,0.3822,46.0,0.077,1
26.51167,93.95951,2022-10-10,10.3,0.8301,97.0,0.051,1
26.51167,93.95951,2022-06-28,19.6,0.8491,97.0,0.051,1
26.32293,91.00632,2018-01-09,0.0,0.3691,46.0,0.077,1
22.03667,88.04861,2022-06-29,2.7,0.7585,6.0,0.19,1
26.88412,95.31946,2022-07-01,19.6,0.8319,809.0,8.236,1
26.78196,92.44907,2023-06-21,124.3,0.7219,101.0,0.346,1
27.48333,94.58333,2012-08-22,8.5,0.7419,109.0,0.621,1
27.23517,94.10357,2023-08-27,39.8,0.7092,97.0,0.058,1
26.95,94.16667,2023-07-18,0.0,0.7858,88.0,0.577,1
26.63333,92.8,2023-08-27,47.5,0.849,70.0,0.115,1
27.13177,95.73486,2022-05-24,2.3,0.7924,367.0,2.129,1
26.01856,89.98564,2022-06-25,1.1,0.7043,34.0,0.308,1
25.91174,93.7217,2022-05-13,17.1,0.8344,153.0,0.2,1
26.75367,92.10215,2022-05-15,147.6,0.8528,110.0,0.354,1
26.32293,91.00632,2015-08-25,14.3,0.691,46.0,0.077,1
26.32293,91.00632,2022-05-22,17.3,0.6949,46.0,0.077,1
26.75367,92.10215,2022-06-20,4.8,0.8326,110.0,0.354,1
26.00281,92.85605,2022-06-16,66.8,0.8481,74.0,0.118,1
24.68394,92.56097,2022-06-19,57.6,0.8526,27.0,0.117,1
27.50965,88.52206,2020-06-27,95.2,0.7133,956.0,26.357,1
26.51167,93.95951,2013-08-29,2.1,0.7792,97.0,0.051,1
27.50965,88.52206,2023-06-17,98.3,0.7108,956.0,26.357,1
27.48333,94.58333,2018-07-29,16.6,0.8431,109.0,0.621,1
27.50965,88.52206,2011-08-29,5.3,0.699,956.0,26.357,1
26.47703,90.55815,2013-09-07,5.2,0.816,59.0,0.193,1
26.35,92.66667,2023-06-24,9.4,0.8083,60.0,0.115,1
27.23517,94.10357,2022-06-30,17.6,0.6947,97.0,0.058,1
26.43937,91.44041,2022-05-17,116.8,0.8502,53.0,0.154,1
26.32293,91.00632,2021-08-31,1.9,0.6483,46.0,0.077,1
26.83595,88.80845,2021-01-22,0.0,0.44,137.0,0.253,0
27.26917,92.43767,2020-01-25,0.0,0.5531,2652.0,16.716,0
27.76524,93.91024,2013-05-16,16.3,0.7106,1466.0,12.905,0
26.17488,87.33743,2018-02-02,0.0,0.3955,52.0,0.051,0
28.18011,94.36538,2022-07-17,14.0,0.7074,2674.0,10.286,0
26.02156,94.82771,2013-02-23,0.0,0.4992,1198.0,31.632,0
25.70205,91.13118,2015-09-24,6.8,0.7728,1097.0,1.606,0
27.28458,96.3429,2020-08-30,1.4,0.8183,1334.0,1.646,0
24.0591,92.78485,2016-05-04,7.6,0.6678,1098.0,1.802,0
27.14841,91.82512,2021-05-05,8.3,0.7011,3043.0,14.582,0
28.043,94.95761,2015-04-17,22.1,0.6999,1270.0,21.098,0
25.68625,90.27273,2021-10-28,0.0,0.7068,351.0,4.939,0
25.42042,91.36715,2021-10-26,0.7,0.7571,1522.0,2.6,0
25.83298,90.75949,2014-09-30,0.9,0.7987,215.0,1.699,0
27.55906,96.42747,2013-08-07,10.8,0.8099,603.0,2.431,0
24.94857,93.45399,2019-08-23,3.7,0.6865,429.0,13.061,0
25.82417,91.18117,2012-03-06,5.2,0.5801,475.0,7.693,0
27.81567,94.45125,2015-07-08,0.4,0.6695,1252.0,18.648,0
28.20515,94.35041,2023-11-27,0.0,0.5579,2572.0,8.946,0
27.03041,92.84498,2022-02-14,0.0,0.3865,252.0,2.559,0
27.69506,90.57619,2012-08-22,59.1,0.7103,4064.0,9.127,0
26.08629,94.9239,2016-04-26,0.1,0.6915,1060.0,10.713,0
27.22021,91.71295,2011-04-18,3.7,0.664,2962.0,18.64,0
27.73489,94.8855,2017-01-01,0.0,0.3731,129.0,0.203,0
27.0641,93.29359,2019-11-21,0.6,0.775,1012.0,9.733,0
25.91011,93.43894,2015-06-15,11.3,0.7915,159.0,1.586,0
28.11461,90.4103,2020-02-05,3.8,0.67,5977.0,31.438,0
25.28195,90.76116,2021-02-14,0.0,0.5612,517.0,14.017,0
27.39432,94.34968,2014-07-16,7.1,0.6997,96.0,0.078,0
23.61028,88.88991,2018-07-13,4.3,0.6612,12.0,0.273,0
24.6591,93.89209,2020-11-10,0.0,0.5364,769.0,0.077,0
26.77512,93.21585,2019-02-26,3.1,0.746,81.0,0.118,0
26.20917,89.66789,2019-08-03,10.8,0.6789,34.0,0.115,0
25.92789,95.24228,2013-03-20,1.1,0.7269,1110.0,17.624,0
26.76684,93.84697,2015-07-05,9.7,0.8249,78.0,0.201,0
26.81427,90.98705,2023-06-18,63.4,0.709,908.0,15.957,0
27.33014,92.83243,2012-01-28,20.3,0.7138,1065.0,14.627,0
26.46872,93.05089,2023-03-11,0.0,0.4932,85.0,0.628,0
23.06954,87.42165,2014-06-21,52.5,0.7148,73.0,0.424,0
26.8641,94.68949,2016-09-14,5.2,0.718,96.0,0.077,0
28.04505,94.4973,2022-08-25,14.6,0.6572,671.0,8.081,0
26.18953,93.65037,2023-03-16,1.7,0.5539,420.0,3.886,0
27.48634,92.62147,2023-09-05,4.4,0.6566,2969.0,23.822,0
20.56864,88.91655,2015-10-28,0.0,0.0,0.0,0.0,0
24.53172,92.04293,2023-11-21,0.0,0.5928,16.0,0.427,0
27.48721,93.84119,2016-08-27,8.3,0.6822,1893.0,12.826,0
25.60512,95.77903,2020-09-24,46.9,0.8447,231.0,0.804,0
27.79897,90.28224,2017-09-29,14.9,0.6987,4620.0,18.46,0
26.72949,89.91233,2019-08-08,51.9,0.5769,365.0,17.761,0
26.06218,94.45907,2014-08-24,14.2,0.7943,774.0,2.703,0
25.56009,94.96035,2017-06-28,5.5,0.8283,1170.0,17.244,0
27.39272,92.10169,2013-12-26,0.2,0.6748,2318.0,5.341,0
26.41817,88.90576,2012-08-01,6.8,0.6585,72.0,0.051,0
27.90762,91.58354,2018-07-22,9.9,0.7057,5009.0,28.389,0
27.70649,92.40199,2017-08-10,49.7,0.7145,5024.0,7.856,0
27.70314,89.90739,2023-01-08,0.0,0.4418,1866.0,30.024,0
26.96582,93.27398,2019-03-30,0.1,0.7124,505.0,7.458,0
26.07345,94.09935,2016-06-12,6.1,0.8247,355.0,20.728,0
25.29161,91.41536,2023-02-16,0.0,0.4249,463.0,6.267,0
25.05889,94.84446,2017-01-07,0.0,0.4947,683.0,13.986,0
26.22145,89.09974,2023-02-17,0.0,0.4259,54.0,0.126,0
25.41427,89.09711,2012-07-18,19.5,0.7172,26.0,0.118,0
26.98238,91.26246,2023-07-07,7.1,0.6932,1424.0,18.964,0
26.2246,89.21641,2014-06-29,41.5,0.7092,49.0,0.051,0
25.79225,94.86072,2023-06-21,2.7,0.7121,664.0,11.758,0
27.69637,97.12733,2015-08-27,36.3,0.7083,2650.0,25.673,0
25.89517,93.21856,2023-01-02,0.0,0.6647,186.0,0.974,0
26.04595,91.57664,2013-01-10,1.0,0.5027,52.0,0.282,0
26.73099,91.32155,2018-01-09,0.0,0.1323,79.0,0.277,0
25.87825,94.73356,2021-10-20,1.5,0.5254,985.0,19.134,0
23.13739,91.14981,2021-06-10,9.2,0.6677,7.0,0.117,0
26.89813,90.69345,2013-05-11,5.5,0.6353,806.0,16.812,0
26.63208,91.06981,2018-06-05,0.2,0.649,55.0,0.633,0
25.07096,91.72674,2021-06-05,45.9,0.7153,7.0,0.314,0
25.59154,92.1997,2017-09-07,1.1,0.7919,1146.0,3.495,0
25.9328,93.42136,2016-01-03,0.1,0.5509,169.0,0.725,0
27.37493,92.98003,2012-10-25,0.4,0.5851,1248.0,9.628,0
27.03254,91.9735,2014-01-09,0.0,0.6325,1666.0,18.095,0
27.35698,91.47806,2015-04-04,12.2,0.6758,1486.0,22.606,0
26.89314,96.89524,2014-11-10,0.0,0.5449,1090.0,18.848,0
27.69982,92.16001,2017-04-02,6.0,0.6851,3888.0,26.951,0
26.14489,87.44187,2022-01-11,0.0,0.4371,52.0,0.154,0
26.10899,94.33522,2020-01-12,0.0,0.7153,1156.0,7.69,0
26.42431,93.34923,2012-02-06,0.0,0.5043,543.0,8.801,0
26.26674,88.98601,2023-06-19,112.1,0.7226,58.0,0.165,0
25.11791,94.7654,2021-03-04,0.2,0.5184,1421.0,13.977,0
26.23913,92.30712,2012-09-06,7.9,0.8072,51.0,0.126,0
21.55661,86.99028,2019-10-31,0.7,0.5433,3.0,0.051,0
24.36619,90.14691,2017-09-24,2.1,0.8015,24.0,0.124,0
25.47613,90.38881,2022-12-24,1.1,0.5389,1189.0,2.828,0
25.5598,90.54679,2020-08-06,3.5,0.7387,287.0,0.581,0
25.56538,91.07301,2021-05-03,16.9,0.8106,1005.0,5.901,0
28.00535,94.33115,2023-07-01,42.4,0.7116,1079.0,16.512,0
26.22533,93.87558,2020-08-02,0.4,0.7372,117.0,0.566,0
25.28167,93.78311,2023-05-04,2.3,0.397,1670.0,16.607,0
25.41689,94.1953,2012-10-26,0.0,0.6287,1429.0,7.338,0
26.22246,94.35714,2022-01-01,0.3,0.6268,694.0,13.498,0
27.34069,92.48672,2011-06-03,39.0,0.7285,1687.0,9.307,0
26.08562,94.0456,2020-05-23,62.4,0.8193,329.0,14.959,0
27.81795,92.10908,2015-02-06,0.1,0.5179,4615.0,6.296,0
27.47184,96.52208,2012-05-20,4.4,0.7567,866.0,9.145,0
27.30505,92.72241,2019-06-14,4.2,0.643,1050.0,15.855,0
26.78636,93.38434,2022-11-02,0.0,0.6349,81.0,0.781,0
26.90766,92.74161,2022-01-15,0.0,0.4815,103.0,0.62,0
25.00455,90.78814,2023-01-23,0.0,0.491,8.0,0.412,0
26.94247,93.14657,2021-11-22,1.0,0.3986,248.0,2.603,0
26.27833,89.25895,2012-08-16,1.4,0.6412,45.0,0.077,0
21.58286,88.40965,2019-03-11,0.4,0.6377,0.0,0.0,0
27.59624,95.61805,2020-07-19,12.8,0.8501,135.0,0.233,0
26.99795,97.27534,2020-03-24,1.5,0.6892,1435.0,14.021,0
26.63583,95.00889,2011-09-16,14.8,0.7881,424.0,12.902,0
25.42756,92.68991,2022-06-29,0.7,0.7049,749.0,0.264,0
25.16134,94.28768,2016-12-17,0.0,0.4915,1662.0,11.008,0
27.99843,91.99358,2017-12-27,0.0,0.6167,4689.0,9.83,0
25.95239,93.3168,2013-01-19,0.0,0.4233,196.0,5.025,0
26.58156,91.69752,2022-11-17,0.0,0.5471,71.0,0.103,0
27.11319,92.53514,2023-04-28,11.7,0.8374,1432.0,12.102,0
27.31734,92.28029,2021-03-18,1.0,0.6031,2459.0,24.834,0
25.8847,92.05818,2012-12-29,0.0,0.5192,817.0,11.586,0
27.62332,92.95974,2018-10-27,0.0,0.629,1897.0,16.95,0
